email,senha,nome,nome_social,celular,genero,data_nascimento,cidade,estado,tipo_sanguineo,condicoes_medicas,medicacao,contato_emergencia,unidades_de_saude
paciente1@email.com,d75v5pJlI@,José Pedro Peixoto,José Pedro Peixoto,0500 457 9420,Não-binário,1975-10-30,Nunes de Minas,PA,B+,"DPOC, Alzheimer","Paracetamol, Morfina, Losartana",+55 (061) 3875 1991,UBS Estação Isabel Ferreira
paciente2@email.com,g%NmMnej$9,Bryan Siqueira,Bryan Siqueira,(084) 3433 7483,Feminino,2005-08-07,Novaes,SP,A-,Doença cardíaca,"Losartana, Paracetamol",+55 (084) 9318-0085,UBS Rua de Almeida
paciente3@email.com,*5OIZstj^1,Cecília Carvalho,Cecília Carvalho,(081) 7817-6416,Masculino,1950-12-25,da Paz de Sampaio,RS,B+,"Câncer, DPOC, Doença cardíaca",Losartana,+55 84 4086-1227,UBS Vila Anthony Gabriel da Luz
paciente4@email.com,+_6U5$ikpK,Mariana Porto,Mariana Porto,11 7945-2159,Feminino,1946-04-01,Cavalcante de Campos,PA,O+,"Câncer, Hipertensão, Diabetes","Ibuprofeno, Metformina, Losartana",+55 (051) 1580-9884,UBS Ladeira Nunes
paciente5@email.com,v+!7S0ga9Y,Dr. Oliver Martins,Dr. Oliver Martins,+55 21 6043 9273,Masculino,1950-11-13,Cavalcante,CE,AB-,DPOC,Omeprazol,0300-602-7763,UBS Quadra Pedro Lucas Lopes
paciente6@email.com,_9yM3ZytUg,Sra. Gabriela Nogueira,Sra. Gabriela Nogueira,(041) 0742 4280,Feminino,1984-09-30,Barbosa de Minas,RS,A+,Doença cardíaca,Metformina,84 4777-6931,UBS Recanto Thales Monteiro
paciente7@email.com,@D0uvxoyc5,Julia da Rocha,Julia da Rocha,+55 (061) 0133-9986,Não-binário,1986-08-31,Pastor,PE,O+,Alzheimer,"Morfina, Paracetamol, Omeprazol",31 3950 1433,UBS Campo de Vasconcelos
paciente8@email.com,1^4Cub7hDF,Davi Miguel Aragão,Lorenzo,+55 61 0878 8979,Feminino,1960-05-15,Porto,SP,O+,Alzheimer,Omeprazol,(021) 3589-1583,UBS Colônia de Fonseca
paciente9@email.com,^9N7Dj&G)s,Diogo Araújo,Diogo Araújo,0900-938-1603,Masculino,1942-05-09,Sousa de Goiás,RS,O+,"Câncer, Hipertensão, Alzheimer","Metformina, Omeprazol",+55 (084) 2034 8955,UBS Feira Montenegro
paciente10@email.com,sV5ZPdp_K@,Fernanda Santos,Daniela,+55 51 2434 8225,Feminino,1964-04-05,Brito de Minas,MG,AB-,"DPOC, Hipertensão, Alzheimer",Ibuprofeno,31 4625-4119,UBS Trevo Monteiro
paciente11@email.com,lPel0LMqD$,Otávio Ramos,Otávio Ramos,(031) 4354-8344,Feminino,1981-02-09,Andrade do Amparo,SC,A-,"Câncer, Alzheimer","Paracetamol, Omeprazol, Ibuprofeno, Metformina",0900-479-8774,UBS Condomínio de Ferreira
paciente12@email.com,(s*T3iR&s%,Eloah Peixoto,Eloah Peixoto,(011) 8594 3677,Feminino,1986-05-11,Pereira da Mata,MG,B+,"Hipertensão, Diabetes, DPOC",Morfina,+55 81 1181 1160,UBS Estrada de Novaes
paciente13@email.com,WOO93AduP!,Ayla Moura,Ayla Moura,(081) 6766 4126,Não-binário,1947-12-28,Mendes,PA,B+,"Câncer, Hipertensão","Morfina, Ibuprofeno",+55 (041) 9112 5115,UBS Avenida de Nogueira
paciente14@email.com,Uqk4Swj$%),Dra. Ana Carolina Albuquerque,Dra. Ana Carolina Albuquerque,+55 (071) 4907-5372,Não-binário,1950-05-31,da Rosa,PE,O+,Hipertensão,"Losartana, Morfina, Ibuprofeno",21 6388-2064,UBS Pátio Vasconcelos
paciente15@email.com,#8zjI!SN9n,Eloah Silva,Eloah Silva,(051) 2858 1564,Não-binário,1989-05-12,Dias de Dias,PE,B-,"Câncer, Hipertensão, DPOC","Morfina, Ibuprofeno, Omeprazol, Metformina",(051) 8757-4878,UBS Morro Luiz Gustavo Câmara
paciente16@email.com,Mm#Z0*BdAz,Gustavo Pastor,Gustavo Pastor,+55 61 2257-8261,Não-binário,1972-12-15,Machado Verde,SC,O-,Alzheimer,Losartana,(041) 1447-8942,UBS Conjunto de Pimenta
paciente17@email.com,V7X1nIh#(0,Eduardo das Neves,Eduardo das Neves,+55 (061) 2154 4067,Masculino,1983-08-15,Sales de Cavalcante,SC,AB-,"Alzheimer, Hipertensão, Diabetes","Ibuprofeno, Morfina",+55 84 7638-3000,UBS Largo Casa Grande
paciente18@email.com,Ze6Mj#gmk),Sabrina Silveira,Sabrina Silveira,+55 51 7400 6415,Feminino,1965-05-20,Cirino,PE,A+,DPOC,"Metformina, Losartana",0800-551-9728,UBS Rua de Guerra
paciente19@email.com,uF!j3FncDB,Zoe Araújo,Zoe Araújo,+55 (031) 3016 4014,Feminino,1969-05-03,da Costa do Sul,RS,A+,"Hipertensão, Câncer",Paracetamol,11 8535 9220,UBS Residencial Silva
