tipo_usuario,nome_completo,email,senha_hash,telefone,sexo,estado
PACIENTE,Ana Sophia Araújo,ana.sophia.araújo@exemplo.com,senha123,+55 84 3321-8196,OUTRO,AM
PACIENTE,Antônio Carvalho,antônio.carvalho@exemplo.com,senha123,+55 11 3890-8386,MASCULINO,SC
PACIENTE,Levi Freitas,levi.freitas@exemplo.com,senha123,+55 (011) 2654 2351,FEMININO,ES
PACIENTE,João Miguel Castro,joao.miguel.castro@exemplo.com,senha123,11 5940 7816,MASCULINO,BA
PACIENTE,Marcos Vinicius Gonçalves,marcos.vinicius.goncalves@exemplo.com,senha123,0900-593-1034,OUTRO,AM
PACIENTE,Enzo Castro,enzo.castro@exemplo.com,senha123,41 4752 5534,OUTRO,SC
PACIENTE,Dra. Melissa Cardoso,dra..melissa.cardoso@exemplo.com,senha123,0500-283-2764,OUTRO,AP
PACIENTE,Olivia das Neves,olivia.das.neves@exemplo.com,senha123,(061) 0305 6413,OUTRO,PA
PACIENTE,Raquel Lopes,raquel.lopes@exemplo.com,senha123,+55 11 7672-4238,MASCULINO,AC
PACIENTE,Emanuella Pereira,emanuella.pereira@exemplo.com,senha123,0800 653 2871,MASCULINO,DF
PACIENTE,Carlos Eduardo da Costa,carlos.eduardo.da.costa@exemplo.com,senha123,+55 (031) 6916-6978,MASCULINO,PE
PACIENTE,Marcos Vinicius Alves,marcos.vinicius.alves@exemplo.com,senha123,+55 61 8451 4627,OUTRO,AC
PACIENTE,Thiago Ferreira,thiago.ferreira@exemplo.com,senha123,21 2814-8932,OUTRO,DF
PACIENTE,Sr. Marcelo Souza,sr..marcelo.souza@exemplo.com,senha123,+55 (011) 9570 1543,OUTRO,RS
PACIENTE,Erick Cardoso,erick.cardoso@exemplo.com,senha123,+55 21 7182 2782,OUTRO,PI
PACIENTE,Luiz Miguel Pereira,luiz.miguel.pereira@exemplo.com,senha123,+55 11 8346-5787,FEMININO,ES
PACIENTE,Felipe das Neves,felipe.das.neves@exemplo.com,senha123,+55 (084) 5098 3930,FEMININO,RJ
PACIENTE,Thales Caldeira,thales.caldeira@exemplo.com,senha123,+55 31 1051-8347,FEMININO,SE
PACIENTE,Marcelo Costela,marcelo.costela@exemplo.com,senha123,0500 973 7631,MASCULINO,SP
PACIENTE,Rafael Pinto,rafael.pinto@exemplo.com,senha123,11 6670 1065,MASCULINO,RR
PACIENTE,Felipe da Mota,felipe.da.mota@exemplo.com,senha123,+55 (071) 8726-2473,FEMININO,MT
PACIENTE,Leonardo Vieira,leonardo.vieira@exemplo.com,senha123,+55 41 0801 3267,FEMININO,BA
PACIENTE,Clara Nunes,clara.nunes@exemplo.com,senha123,+55 (081) 2606 4746,MASCULINO,SP
PACIENTE,Dra. Valentina Rodrigues,dra..valentina.rodrigues@exemplo.com,senha123,+55 (021) 3430-9805,FEMININO,AM
PACIENTE,Benjamin Rocha,benjamin.rocha@exemplo.com,senha123,21 8208-1219,MASCULINO,MG
PACIENTE,Renan Duarte,renan.duarte@exemplo.com,senha123,71 1939 9091,MASCULINO,MS
PACIENTE,Mirella Silveira,mirella.silveira@exemplo.com,senha123,(051) 4353 4624,FEMININO,RN
PACIENTE,Gabrielly Cardoso,gabrielly.cardoso@exemplo.com,senha123,+55 (021) 7991 1838,FEMININO,SE
PACIENTE,Cauê Monteiro,cauê.monteiro@exemplo.com,senha123,+55 (084) 3542 7849,MASCULINO,SC
PACIENTE,Marcela Alves,marcela.alves@exemplo.com,senha123,81 4124-1182,FEMININO,PI
PACIENTE,Gustavo Henrique da Rocha,gustavo.henrique.da.rocha@exemplo.com,senha123,(081) 3487 4016,MASCULINO,MG
PACIENTE,Augusto Almeida,augusto.almeida@exemplo.com,senha123,(071) 2427 8680,MASCULINO,PI
PACIENTE,Breno da Costa,breno.da.costa@exemplo.com,senha123,71 0598-2620,FEMININO,TO
PACIENTE,João Guilherme Barbosa,joao.guilherme.barbosa@exemplo.com,senha123,11 3315 8692,OUTRO,RN
PACIENTE,Davi Lucca da Luz,davi.lucca.da.luz@exemplo.com,senha123,81 0256 3421,FEMININO,RJ
PACIENTE,Alícia Ribeiro,alícia.ribeiro@exemplo.com,senha123,+55 21 3754-3303,MASCULINO,RR
PACIENTE,Helena Freitas,helena.freitas@exemplo.com,senha123,+55 (084) 4586 8501,MASCULINO,AL
PACIENTE,Davi Ferreira,davi.ferreira@exemplo.com,senha123,+55 (051) 1965 5698,OUTRO,ES
PACIENTE,João Pedro da Mota,joao.pedro.da.mota@exemplo.com,senha123,+55 61 0608-8356,FEMININO,AP
PACIENTE,Raul Melo,raul.melo@exemplo.com,senha123,0900-514-8465,MASCULINO,AM
PACIENTE,Pietra Gonçalves,pietra.goncalves@exemplo.com,senha123,81 2366-2994,FEMININO,GO
PACIENTE,Maria Clara Almeida,maria.clara.almeida@exemplo.com,senha123,(031) 4369 9577,FEMININO,RS
PACIENTE,Nicole da Rosa,nicole.da.rosa@exemplo.com,senha123,31 7214-8951,FEMININO,CE
PACIENTE,Renan Lima,renan.lima@exemplo.com,senha123,+55 21 3200-3791,FEMININO,MS
PACIENTE,Kamilly da Mota,kamilly.da.mota@exemplo.com,senha123,51 7632 0163,MASCULINO,RO
PACIENTE,Samuel Silveira,samuel.silveira@exemplo.com,senha123,(061) 0831-7278,FEMININO,RR
