"id_cuidador","id_usuario","nome","sexo","data_nascimento","parentesco_paciente","telefone"
"30001","30001","Christopher Lee","M","1991-05-02","Sobrinho","514.579.2456x51125"
"30002","30002","Ronald Hall","M","1999-11-05","Primo","(361)723-6088x0594"
"30003","30003","Karl Sharp","F","1987-12-22","Filha","526-462-8129x4695"
"30004","30004","Scott Smith","M","2001-04-06","Filha","723-293-3422"
"30005","30005","Craig Brown","M","1969-08-11","Filho","4038096704"
"30006","30006","Alexandra Martinez","M","1973-12-04","Cônjuge","591-591-8393x6397"
"30007","30007","Gary Burke","M","1958-04-19","Sobrinho","(372)920-9019x495"
"30008","30008","Robert Thompson","M","2002-05-16","Sobrinho","114.106.5117"
"30009","30009","Judith Ramirez","F","1972-08-02","Filho","612-329-1033"
"30010","30010","John Rivera","M","1962-12-23","Filho","5871243624"
"30011","30011","Antonio Armstrong","M","1994-06-12","Filho","1158114250"
"30012","30012","Brian Griffin","M","2005-07-22","Filha","001-722-656-1768"
"30013","30013","James Benitez","M","1997-06-08","Primo","(243)943-4319"
"30014","30014","Kelly Higgins","M","1964-10-02","Filha","001-877-966-5624"
"30015","30015","Cory Beasley","M","1970-10-19","Primo","+1-575-347-9278x08966"
"30016","30016","Tammy Chase","M","1994-08-05","Filha","001-428-436-3731x53478"
"30017","30017","Rachel Diaz","F","1973-12-04","Sobrinho","817-382-7428x70700"
"30018","30018","Justin Young","M","1964-07-18","Filho","8353360177"
"30019","30019","Gregory Evans","F","1969-12-23","Filho","097-149-1234"
"30020","30020","Morgan Sims","F","1956-07-25","Filho","001-121-917-3485"
"30021","30021","Nicholas Freeman","M","1981-06-04","Genro","(717)481-9888"
"30022","30022","Jenna Smith","M","1962-10-27","Genro","(435)994-3008x1093"
"30023","30023","David Perkins","F","1977-06-25","Filha","001-284-462-9867x4101"
"30024","30024","Amy Love","F","1956-08-03","Filha","+1-520-408-6071x3733"
"30025","30025","Patricia Ortega","F","1970-06-01","Filha","(639)616-4765"
"30026","30026","Ryan Caldwell","M","1961-12-01","Primo","028-064-7324"
"30027","30027","Curtis Garcia","M","1972-07-14","Genro","(874)913-5746"
"30028","30028","James Hernandez","F","1967-02-13","Genro","311-294-8980x296"
"30029","30029","Dr. Megan Garcia","M","1982-09-16","Sobrinho","140-041-5046x281"
"30030","30030","Donald Carpenter","M","1956-11-18","Filho","131.921.3936x4306"
"30031","30031","Jason Haley","F","1988-02-29","Cônjuge","+1-683-773-8695x73818"
"30032","30032","Brian Blake Jr.","M","1996-06-17","Filho","457-081-7242"
"30033","30033","Steven Jackson","F","1954-11-01","Filha","770-000-0513x819"
"30034","30034","Veronica Wallace","F","1969-03-03","Filho","012-206-5176x382"
"30035","30035","Diana Rivera","F","1981-03-28","Genro","(387)240-4235x52990"
"30036","30036","Eric Wheeler","M","1990-07-10","Cônjuge","150-778-0966x6395"
"30037","30037","John Brewer","F","1980-05-22","Primo","(482)353-7701x616"
"30038","30038","Ashley Strickland","M","1982-02-13","Genro","+1-789-042-6635x21267"
"30039","30039","Kathleen Harris","F","1956-10-26","Cônjuge","(719)711-6467"
"30040","30040","Eric Cole","M","1968-06-02","Filho","001-870-659-9430x94335"
"30041","30041","Alvin Jones","F","1991-11-07","Sobrinho","(327)526-7173x0817"
"30042","30042","Alicia Hernandez","F","1993-06-21","Genro","0219726400"
"30043","30043","Taylor Ramirez","M","1970-01-23","Sobrinho","+1-032-550-1425x328"
"30044","30044","Eileen Davis","M","1974-08-14","Sobrinho","(370)958-8333x890"
"30045","30045","Maurice Ryan II","M","1994-01-01","Nora","269.185.9199x901"
"30046","30046","Michael Jones","M","1980-01-30","Cônjuge","6389623783"
"30047","30047","Brandy Scott","F","1984-03-31","Filha","(903)287-8228"
"30048","30048","James Holland","M","1999-09-11","Nora","548.879.1643"
"30049","30049","Whitney Allen","M","2001-04-02","Nora","191.521.1256x78036"
"30050","30050","Richard Powers","M","1976-09-04","Genro","(139)536-9489"
"30051","30051","Phillip Rhodes","F","1957-06-01","Nora","(535)921-9910x905"
"30052","30052","Connie Jacobs","F","1980-04-09","Cônjuge","938.969.6513"
"30053","30053","Cheryl Warner","F","1980-08-04","Cônjuge","(551)079-5211x54461"
